year,month,firm,product,substance,brand,cNLCES,cNLCESColl,cRCCES,cRCCESColl
1995,1,AstraZeneca,86,Paracetamol,Reliv,0.402988331725393,0.222361221909016,0.420979216843858,0.282435552573515
1995,1,AstraZeneca,37,Paracetamol,Curadon,0.44543313717225,0.24578145038671,0.465318914918005,0.312183118784508
1995,1,AstraZeneca,43,Paracetamol,Curadon,0.273381000544307,0.163055061130663,0.318851510714921,0.236352400842075
1995,1,AstraZeneca,89,Paracetamol,Reliv,0.244636522795041,0.145910736663184,0.285326064042266,0.211501272513975
1995,1,AstraZeneca,104,Ibuprofen,Nurofen,0.532168529519726,0.281150143765021,0.519837883983309,0.372942420416457
1995,1,AstraZeneca,11,Paracetamol,Alvedon,0.468498498418212,0.258508473743605,0.420228084201603,0.282756983353758
1995,1,AstraZeneca,23,Paracetamol,Alvedon,0.301839047517189,0.180028547143164,0.291449563755621,0.233526530440131
1995,1,GSK,81,Paracetamol,Panodil,0.445262598638756,0.223484450917468,0.384814364011487,0.269491847406007
1995,1,GSK,72,Paracetamol,Panodil,0.666115220113944,0.32416349544607,0.568445811806894,0.351492557057282
1995,1,McNeil,64,ASA,Magnecyl,0.294100531328238,0.165387628240786,0.291184550820515,0.225244257003713
1995,1,McNeil,91,ASA,Treo,0.271545995059937,0.175742804874784,0.312798960051904,0.2451598280944
1995,1,McNeil,62,ASA,Magnecyl,0.243469809344838,0.157572079776563,0.321007000493875,0.237006778842855
1995,1,McNeil,67,ASA,Magnecyl,0.335308783209373,0.188561115931508,0.331984226563755,0.256804628674816
1995,1,McNeil,92,ASA,Treo,0.26218316470941,0.169683241864085,0.302013738947313,0.236706785438749
1995,1,McNeil,65,ASA,Magnecyl,0.176708457106848,0.0993721176871066,0.174956408533027,0.135336597140934
1995,1,McNeil,66,ASA,Magnecyl,0.315747220929115,0.204349551262033,0.416302409639527,0.307365549602915
1995,1,McNeil,68,ASA,Magnecyl,0.221487784578556,0.12455380209725,0.219291752971224,0.16963196648263
1995,1,McNeil,63,ASA,Magnecyl,0.230897930130099,0.149435641177063,0.304431387902916,0.224768626586094
